State,NAICS,Meaning,Year,Value_D,"Relative standard error for estimate of sales, value of shipments, or revenue (%)",Payroll_D,Relative standard error for estimate of annual payroll (%),FirstQuarter,Relative standard error for estimate of first-quarter payroll (%),Employees_C,Relative standard error for estimate of number of employees (%),Production workers for pay period including March 12,Relative standard error for estimate of production workers for pay period including March 12 (%),HoursAnum_T,Relative standard error for estimate of production workers annual hours (%),WagesAnum_D,Relative standard error for estimate of production workers annual wages (%),MaterialCost_D,Relative standard error for estimate of total cost of materials  (%),ValueAdded_D,Relative standard error for estimate of value added (%),ConstantCapital_D,Relative standard error for estimate of total capital expenditures (new and used)  (%),"Range indicating percent of total sales, value of shipments, or revenue imputed",Range indicating percent of total annual payroll imputed,Range indicating percent of total employees imputed
Tennessee,3131,"Fiber, yarn, and thread mills",2021,"354,684",0.0,"50,268",0.0,"12,398",0.0,988,0.0,908,0.0,"1,970",0.0,"43,998",0.0,"211,264",0.0,D,D,"1,468",0.0,20% to less than 30%,Less than 10%,20% to less than 30%
Tennessee,3132,Fabric mills,2021,"513,468",0.0,"85,702",0.0,"20,209",0.0,"1,233",0.0,928,0.0,"1,827",0.0,"53,566",0.0,"305,335",0.0,"214,280",0.0,"12,223",0.0,40% to less than 50%,Less than 10%,40% to less than 50%
Tennessee,3133,Textile and fabric finishing and fabric coating mills,2021,"272,361",6.8,"37,442",4.6,"9,200",4.9,657,1.9,542,4.0,"1,204",1.4,"26,688",1.4,"167,946",5.8,D,D,"3,649",12.2,60% to less than 70%,40% to less than 50%,70% to less than 80%
Tennessee,314,Textile product mills,2021,"523,283",15.5,"93,375",14.2,"23,940",14.8,"2,268",15.8,"1,722",15.7,"3,282",14.1,"54,622",14.3,"294,363",16.6,D,D,"14,491",18.8,30% to less than 40%,20% to less than 30%,50% to less than 60%
Tennessee,3141,Textile furnishings mills,2021,"160,251 (s)",46.1,"28,266 (s)",41.7,"7,145 (s)",44.4,689 (s),44.8,514 (s),44.4,876 (s),40.8,"14,783 (s)",45.5,"90,895 (s)",48.9,"71,952 (s)",43.9,"3,479 (s)",77.0,20% to less than 30%,20% to less than 30%,30% to less than 40%
Tennessee,3149,Other textile product mills,2021,"363,032",9.2,"65,109",9.2,"16,795",9.4,"1,579",11.4,"1,208",11.9,"2,406",12.1,"39,839",9.8,"203,468",10.0,D,D,"11,012",4.2,40% to less than 50%,30% to less than 40%,50% to less than 60%
Tennessee,3314,Nonferrous metal (except aluminum) production and processing,2021,"1,445,337",6.3,"112,029",0.4,"27,679",0.6,"1,803",0.6,"1,325",0.7,"2,714",0.5,"66,744",0.5,"1,058,436",11.6,"405,549",8.4,"41,122",3.8,60% to less than 70%,10% to less than 20%,20% to less than 30%
Texas,313,Textile mills,2021,"509,912",4.7,"74,416",8.8,"17,847",9.3,"1,733",7.3,"1,365",7.4,"2,448",8.0,"45,775",10.9,"307,743",2.5,"202,033",9.2,"10,081",7.9,30% to less than 40%,20% to less than 30%,40% to less than 50%
Texas,3131,"Fiber, yarn, and thread mills",2021,"3,316",0.0,801,0.0,251,0.0,25,0.0,21,0.0,36,0.0,578,0.0,"1,990",0.0,D,D,D,D,50% to less than 60%,Less than 10%,30% to less than 40%
Texas,3132,Fabric mills,2021,"304,587",7.9,"47,576",13.7,"11,452",14.5,"1,200",10.6,981,10.3,"1,699",11.5,"31,039",16.0,"158,056",4.5,"147,167",12.6,"7,339",8.7,40% to less than 50%,30% to less than 40%,40% to less than 50%
