Geographic Area Name,2017 NAICS code,Meaning of NAICS Code,Year,"Sales, value of shipments, or revenue ($1,000)","Relative standard error for estimate of sales, value of shipments, or revenue (%)","Annual payroll ($1,000)",Relative standard error for estimate of annual payroll (%),"First-quarter payroll ($1,000)",Relative standard error for estimate of first-quarter payroll (%),Number of employees,Relative standard error for estimate of number of employees (%),Production workers for pay period including March 12,Relative standard error for estimate of production workers for pay period including March 12 (%),"Production workers annual hours (1,000)",Relative standard error for estimate of production workers annual hours (%),"Production workers annual wages ($1,000)",Relative standard error for estimate of production workers annual wages (%),"Total cost of materials ($1,000)",Relative standard error for estimate of total cost of materials  (%),"Value added ($1,000)",Relative standard error for estimate of value added (%),"Total capital expenditures (new and used) ($1,000)",Relative standard error for estimate of total capital expenditures (new and used)  (%),"Range indicating percent of total sales, value of shipments, or revenue imputed",Range indicating percent of total annual payroll imputed,Range indicating percent of total employees imputed
New Mexico,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"90,853",14.5,"25,899",3.4,"6,291",0.7,272,4.8,144,3.6,259,2.0,"9,021",12.0,"31,371",25.0,"59,629",7.9,D,D,70% to less than 80%,30% to less than 40%,80% to less than 90%
New Mexico,3391,Medical equipment and supplies manufacturing,2021,"482,976",0.7,"41,182",2.2,"10,250",0.3,966,1.1,675,0.4,"1,311",1.2,"22,900",6.0,D,D,"157,633",1.1,D,D,90% to 100%,20% to less than 30%,40% to less than 50%
New York,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"4,882,868",2.9,"1,169,808",3.3,"296,123",4.3,"12,942",4.7,"6,297",4.8,"12,512",3.7,"452,151",2.8,"2,277,510",3.7,"2,627,699",4.4,"73,635",5.3,50% to less than 60%,40% to less than 50%,50% to less than 60%
New York,3391,Medical equipment and supplies manufacturing,2021,"2,808,500",1.8,"818,331",1.4,"201,252",1.6,"11,817",2.3,"7,906",2.7,"14,832",2.7,"343,150",3.1,"1,145,771",1.9,"1,656,672",2.0,"66,561",6.2,70% to less than 80%,60% to less than 70%,70% to less than 80%
North Carolina,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"1,453,609",22.8,"375,208",19.2,"100,578",23.4,"4,819",14.9,"1,751",9.5,"3,580",9.4,"107,491",9.5,"541,456",16.2,"1,002,437",31.5,"30,125",24.8,20% to less than 30%,10% to less than 20%,30% to less than 40%
North Carolina,3391,Medical equipment and supplies manufacturing,2021,"2,122,965",8.1,"378,175",3.5,"97,084",3.8,"7,385",5.7,"4,786",5.2,"8,490",4.1,"184,504",3.8,"854,082",7.7,"1,284,021",8.9,"35,079",8.7,40% to less than 50%,20% to less than 30%,40% to less than 50%
North Dakota,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,D,D,"12,276",0.0,"2,693",0.0,164,0.0,85,0.0,192,0.0,D,D,D,D,D,D,D,D,D,Less than 10%,30% to less than 40%
North Dakota,3391,Medical equipment and supplies manufacturing,2021,D,D,"4,458",3.4,"1,253",3.0,83,5.1,51,4.2,94,2.3,"2,231",3.4,D,D,D,D,"1,958",0.0,D,Less than 10%,Less than 10%
Ohio,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"4,356,371",1.0,"1,106,527",0.8,"279,895",1.0,"11,735",1.5,"4,666",4.2,"8,653",4.0,"235,984",3.8,"1,921,243",2.1,"2,443,961",2.1,"74,953",10.6,60% to less than 70%,40% to less than 50%,40% to less than 50%
Ohio,3391,Medical equipment and supplies manufacturing,2021,"2,771,126",3.2,"602,067",2.6,"168,137",2.9,"9,648",3.0,"6,668",3.3,"11,796",3.1,"271,910",3.7,"912,624",6.8,"1,851,308",2.6,"44,402",5.0,50% to less than 60%,30% to less than 40%,40% to less than 50%
Oklahoma,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"542,165",7.5,"117,665",10.7,"29,489",14.4,"1,755",8.9,920,7.9,"1,637",9.2,"42,620",9.7,"190,592",12.1,"356,520",7.3,D,D,20% to less than 30%,20% to less than 30%,30% to less than 40%
Oklahoma,3391,Medical equipment and supplies manufacturing,2021,"362,612",0.2,"49,284",2.0,"10,467",24.4,762,23.4,638,3.5,"1,270",7.3,"28,356",5.1,"200,472",0.4,"167,458",0.8,"2,383",0.0,30% to less than 40%,40% to less than 50%,70% to less than 80%
Oregon,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"1,760,213",7.4,"572,119",1.0,"149,720",2.3,"5,400",1.8,"1,648",1.3,"2,838",1.8,"91,759",2.7,"641,864",6.9,"1,115,638",8.1,"39,402",1.4,40% to less than 50%,Less than 10%,10% to less than 20%
Oregon,3391,Medical equipment and supplies manufacturing,2021,"1,124,635",2.1,"299,613",3.6,"71,040",3.4,"4,213",5.8,"2,712",7.9,"5,090",8.9,"136,836",7.8,"364,789",6.0,"776,281",2.2,"13,261",24.1,30% to less than 40%,30% to less than 40%,60% to less than 70%
Pennsylvania,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"6,693,223",3.9,"1,189,168",2.3,"315,902",2.1,"13,646",7.1,"5,432",9.1,"10,299",4.7,"300,355",5.1,"2,420,734",2.7,"4,355,301",4.7,"111,655",2.7,20% to less than 30%,40% to less than 50%,40% to less than 50%
Pennsylvania,3391,Medical equipment and supplies manufacturing,2021,"3,626,677",5.4,"649,887",10.7,"165,206",14.8,"10,971",12.2,"6,953",12.9,"12,988",11.3,"293,822",14.3,"1,408,500",9.4,"2,338,373",6.6,"190,612",0.9,30% to less than 40%,10% to less than 20%,50% to less than 60%
Rhode Island,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"584,673",3.4,"207,172",3.4,"50,182",3.3,"2,181",5.6,508,23.2,"1,169",17.0,"29,893",16.1,"171,970",3.7,"421,996",3.9,"95,371",1.3,80% to less than 90%,80% to less than 90%,90% to 100%
Rhode Island,3391,Medical equipment and supplies manufacturing,2021,"322,822",0.6,"66,757",0.7,"16,688",1.5,"1,452",1.7,998,2.2,"1,877",2.4,"45,870",5.4,"97,301",0.8,"225,231",0.6,"1,945",0.0,90% to 100%,70% to less than 80%,90% to 100%
South Carolina,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"1,369,736",1.8,"161,606",0.2,"37,357",0.8,"2,258",0.2,"1,334",1.2,"2,737",3.7,"74,362",1.2,D,D,"712,946",2.9,"30,875",2.0,60% to less than 70%,20% to less than 30%,30% to less than 40%
South Carolina,3391,Medical equipment and supplies manufacturing,2021,"660,837",0.9,"133,810",1.8,"33,166",2.2,"2,417",1.7,"1,791",2.2,"3,296",0.4,"86,735",2.2,D,D,"491,214",0.9,"13,558",5.0,90% to 100%,30% to less than 40%,90% to 100%
South Dakota,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"174,894",0.0,"48,389",0.0,"12,192",0.0,632,0.0,331,0.0,594,0.0,"14,771",0.0,D,D,"103,786",0.0,D,D,Less than 10%,Less than 10%,Less than 10%
South Dakota,3391,Medical equipment and supplies manufacturing,2021,D,D,"101,427",2.0,"24,300",2.1,"1,572",2.6,"1,094",2.9,"2,604",2.1,"67,013",2.1,D,D,D,D,D,D,D,Less than 10%,10% to less than 20%
Tennessee,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"1,149,182",12.5,"150,275",13.7,"41,015",11.9,"2,418",8.4,"1,289",9.4,"2,824",7.8,"56,859",23.3,"413,676",14.1,"737,373",10.4,"158,007",0.4,30% to less than 40%,Less than 10%,30% to less than 40%
Tennessee,3391,Medical equipment and supplies manufacturing,2021,"3,610,647",3.8,"598,473",6.6,"141,672",8.7,"6,881",10.6,"3,788",12.3,"7,905",11.7,"212,307",9.2,"870,237",5.4,"2,754,779",3.3,"69,948",7.1,50% to less than 60%,60% to less than 70%,60% to less than 70%
