Geographic Area Name,2017 NAICS code,Meaning of NAICS Code,Year,"Sales, value of shipments, or revenue ($1,000)","Relative standard error for estimate of sales, value of shipments, or revenue (%)","Annual payroll ($1,000)",Relative standard error for estimate of annual payroll (%),"First-quarter payroll ($1,000)",Relative standard error for estimate of first-quarter payroll (%),Number of employees,Relative standard error for estimate of number of employees (%),Production workers for pay period including March 12,Relative standard error for estimate of production workers for pay period including March 12 (%),"Production workers annual hours (1,000)",Relative standard error for estimate of production workers annual hours (%),"Production workers annual wages ($1,000)",Relative standard error for estimate of production workers annual wages (%),"Total cost of materials ($1,000)",Relative standard error for estimate of total cost of materials  (%),"Value added ($1,000)",Relative standard error for estimate of value added (%),"Total capital expenditures (new and used) ($1,000)",Relative standard error for estimate of total capital expenditures (new and used)  (%),"Range indicating percent of total sales, value of shipments, or revenue imputed",Range indicating percent of total annual payroll imputed,Range indicating percent of total employees imputed
Hawaii,3366,Ship and boat building,2021,"152,536",0.0,"34,869",0.0,"10,324",0.0,609,0.0,405,0.0,699,0.0,"21,838",0.0,D,D,"82,645",0.0,D,D,50% to less than 60%,30% to less than 40%,40% to less than 50%
Idaho,3366,Ship and boat building,2021,"43,363",0.0,"6,568",0.0,D,D,100 to 249 employees,D,99,0.0,D,D,D,D,"28,713",0.0,D,D,881,0.0,10% to less than 20%,Less than 10%,D
Illinois,3366,Ship and boat building,2021,"90,515",0.0,"13,570",0.0,"3,392",0.0,318,0.0,273,0.0,520,0.0,"10,320",0.0,D,D,"35,871",0.0,D,D,Less than 10%,Less than 10%,10% to less than 20%
Indiana,3366,Ship and boat building,2021,"1,594,321",1.6,"192,060",2.1,"44,152",1.8,"3,072",2.4,"2,390",2.6,"4,438",6.0,"132,075",2.8,"1,024,414",2.5,"574,182",0.6,"24,670 (s)",53.0,Less than 10%,10% to less than 20%,20% to less than 30%
Iowa,3366,Ship and boat building,2021,"78,092",0.0,D,D,D,D,100 to 249 employees,D,D,D,D,D,D,D,"50,490",0.0,"27,558",0.0,D,D,20% to less than 30%,D,D
Kansas,3366,Ship and boat building,2021,D,D,D,D,D,D,500 to 999 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Kentucky,3366,Ship and boat building,2021,"121,659",0.0,"36,992",0.0,"9,184",0.0,533,0.0,421,0.0,856,0.0,"24,152",0.0,D,D,"48,160",0.0,D,D,30% to less than 40%,Less than 10%,20% to less than 30%
Louisiana,3366,Ship and boat building,2021,"1,456,636",2.6,"290,623",2.3,"74,944",2.7,"4,624",2.9,"3,482",3.2,"6,788",3.2,"204,587",2.4,"760,206",3.3,"686,885",2.1,"59,415",0.3,60% to less than 70%,40% to less than 50%,70% to less than 80%
Maine,3366,Ship and boat building,2021,"1,593,507",0.0,"513,090",0.0,"130,763",0.0,"7,928",0.0,"6,280",0.0,"9,236",0.0,"394,441",0.0,D,D,"1,087,548",0.0,"66,379",0.0,Less than 10%,Less than 10%,10% to less than 20%
Maryland,3366,Ship and boat building,2021,"122,370",0.0,"23,813",0.0,"5,185",0.0,415,0.0,332,0.0,615,0.0,D,D,"51,165",0.0,"72,481",0.0,899,0.0,20% to less than 30%,10% to less than 20%,70% to less than 80%
Massachusetts,3366,Ship and boat building,2021,"137,335",1.1,"41,048",6.1,"10,262",7.7,609,1.1,501,2.1,889,3.6,"30,043",9.4,D,D,D,D,D,D,30% to less than 40%,Less than 10%,50% to less than 60%
Michigan,3366,Ship and boat building,2021,"727,155",0.5,"116,249",2.9,"26,517",3.0,"2,080",2.3,"1,751",2.2,"3,137",0.1,"82,562",2.7,"420,245",0.8,"323,109",0.2,"10,819",5.2,50% to less than 60%,40% to less than 50%,70% to less than 80%
Minnesota,3366,Ship and boat building,2021,"453,378",0.0,"68,035",0.0,"17,631",0.0,"1,181",0.0,962,0.0,"1,822",0.0,D,D,"249,752",0.0,"204,441",0.0,D,D,30% to less than 40%,30% to less than 40%,30% to less than 40%
Mississippi,3366,Ship and boat building,2021,"3,036,130",0.0,"845,460",0.0,"210,719",0.0,"12,911",0.0,D,D,"14,849",0.0,D,D,"1,177,300",0.0,"1,857,886",0.0,D,D,90% to 100%,90% to 100%,90% to 100%
